iter	Passed	Remaining
0	0	88
1	1	80
2	2	76
3	2	69
4	3	69
5	4	68
6	5	68
7	5	68
8	6	67
9	7	66
10	8	65
11	8	65
12	9	64
13	10	63
14	11	63
15	11	62
16	12	62
17	13	61
18	14	61
19	15	60
20	15	59
21	16	59
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
